p sp 20 380
a 1 2 203
a 1 3 860
a 1 4 981
a 1 5 857
a 1 6 855
a 1 7 406
a 1 8 215
a 1 9 593
a 1 10 468
a 1 11 104
a 1 12 620
a 1 13 728
a 1 14 448
a 1 15 775
a 1 16 316
a 1 17 921
a 1 18 907
a 1 19 999
a 1 20 944
a 2 1 559
a 2 3 575
a 2 4 108
a 2 5 673
a 2 6 765
a 2 7 486
a 2 8 844
a 2 9 885
a 2 10 13
a 2 11 103
a 2 12 838
a 2 13 786
a 2 14 229
a 2 15 305
a 2 16 132
a 2 17 329
a 2 18 594
a 2 19 174
a 2 20 548
a 3 1 428
a 3 2 945
a 3 4 825
a 3 5 923
a 3 6 63
a 3 7 368
a 3 8 256
a 3 9 832
a 3 10 898
a 3 11 442
a 3 12 610
a 3 13 23
a 3 14 764
a 3 15 256
a 3 16 256
a 3 17 546
a 3 18 849
a 3 19 247
a 3 20 296
a 4 1 241
a 4 2 421
a 4 3 240
a 4 5 221
a 4 6 643
a 4 7 687
a 4 8 803
a 4 9 624
a 4 10 930
a 4 11 534
a 4 12 315
a 4 13 58
a 4 14 555
a 4 15 854
a 4 16 532
a 4 17 46
a 4 18 115
a 4 19 988
a 4 20 543
a 5 1 763
a 5 2 410
a 5 3 533
a 5 4 733
a 5 6 688
a 5 7 83
a 5 8 979
a 5 9 263
a 5 10 302
a 5 11 290
a 5 12 247
a 5 13 804
a 5 14 713
a 5 15 388
a 5 16 367
a 5 17 555
a 5 18 359
a 5 19 234
a 5 20 305
a 6 1 196
a 6 2 646
a 6 3 533
a 6 4 662
a 6 5 10
a 6 7 906
a 6 8 779
a 6 9 992
a 6 10 523
a 6 11 324
a 6 12 192
a 6 13 475
a 6 14 110
a 6 15 203
a 6 16 446
a 6 17 31
a 6 18 3
a 6 19 863
a 6 20 221
a 7 1 539
a 7 2 574
a 7 3 168
a 7 4 610
a 7 5 867
a 7 6 836
a 7 8 627
a 7 9 12
a 7 10 595
a 7 11 308
a 7 12 101
a 7 13 50
a 7 14 418
a 7 15 319
a 7 16 965
a 7 17 422
a 7 18 64
a 7 19 128
a 7 20 277
a 8 1 372
a 8 2 183
a 8 3 685
a 8 4 722
a 8 5 731
a 8 6 692
a 8 7 587
a 8 9 871
a 8 10 322
a 8 11 439
a 8 12 453
a 8 13 45
a 8 14 756
a 8 15 750
a 8 16 92
a 8 17 190
a 8 18 460
a 8 19 926
a 8 20 808
a 9 1 157
a 9 2 57
a 9 3 522
a 9 4 109
a 9 5 919
a 9 6 986
a 9 7 633
a 9 8 846
a 9 10 532
a 9 11 227
a 9 12 403
a 9 13 278
a 9 14 414
a 9 15 134
a 9 16 324
a 9 17 161
a 9 18 159
a 9 19 634
a 9 20 0
a 10 1 303
a 10 2 799
