p sp 500 249500
a 1 2 189
a 1 3 302
a 1 4 663
a 1 5 483
a 1 6 729
a 1 7 544
a 1 8 649
a 1 9 379
a 1 10 262
a 1 11 794
a 1 12 30
a 1 13 434
a 1 14 938
a 1 15 345
a 1 16 214
a 1 17 947
a 1 18 293
a 1 19 905
a 1 20 458
a 1 21 169
a 1 22 721
a 1 23 526
a 1 24 779
a 1 25 959
a 1 26 592
a 1 27 198
a 1 28 319
a 1 29 511
a 1 30 233
a 1 31 800
a 1 32 620
a 1 33 567
a 1 34 403
a 1 35 614
a 1 36 875
a 1 37 868
a 1 38 992
a 1 39 518
a 1 40 342
a 1 41 667
a 1 42 115
a 1 43 621
a 1 44 57
a 1 45 138
a 1 46 394
a 1 47 346
a 1 48 76
a 1 49 860
a 1 50 428
a 1 51 617
a 1 52 974
a 1 53 410
a 1 54 954
a 1 55 108
a 1 56 715
a 1 57 201
a 1 58 378
a 1 59 371
a 1 60 575
a 1 61 874
a 1 62 231
a 1 63 621
a 1 64 905
a 1 65 173
a 1 66 74
a 1 67 916
a 1 68 848
a 1 69 13
a 1 70 620
a 1 71 77
a 1 72 32
a 1 73 102
a 1 74 656
a 1 75 733
a 1 76 694
a 1 77 713
a 1 78 509
a 1 79 20
a 1 80 631
a 1 81 647
a 1 82 906
a 1 83 989
a 1 84 501
a 1 85 825
a 1 86 344
a 1 87 84
a 1 88 929
a 1 89 78
a 1 90 147
a 1 91 190
a 1 92 609
a 1 93 925
a 1 94 729
a 1 95 220
a 1 96 643
a 1 97 230
a 1 98 848
a 1 99 455
a 1 100 424
a 1 101 84
a 1 102 644
a 1 103 13
a 1 104 818
a 1 105 205
a 1 106 942
a 1 107 610
a 1 108 445
a 1 109 248
a 1 110 909
a 1 111 688
a 1 112 289
a 1 113 573
a 1 114 961
a 1 115 31
a 1 116 61
a 1 117 288
a 1 118 682
a 1 119 868
a 1 120 725
a 1 121 750
a 1 122 357
a 1 123 646
a 1 124 309
a 1 125 246
a 1 126 999
a 1 127 828
a 1 128 916
a 1 129 353
a 1 130 479
a 1 131 680
a 1 132 674
a 1 133 410
a 1 134 15
a 1 135 918
a 1 136 585
a 1 137 447
a 1 138 788
a 1 139 797
a 1 140 550
a 1 141 789
a 1 142 873
a 1 143 228
a 1 144 993
a 1 145 895
a 1 146 15
a 1 147 974
a 1 148 736
a 1 149 230
a 1 150 936
a 1 151 854
a 1 152 512
a 1 153 682
a 1 154 231
a 1 155 355
a 1 156 572
a 1 157 975
a 1 158 497
a 1 159 484
a 1 160 523
a 1 161 920
a 1 162 78
a 1 163 133
a 1 164 685
a 1 165 480
a 1 166 904
a 1 167 736
a 1 168 830
a 1 169 27
a 1 170 329
a 1 171 108
a 1 172 146
a 1 173 193
a 1 174 713
a 1 175 833
a 1 176 838
a 1 177 835
a 1 178 454
a 1 179 681
a 1 180 901
a 1 181 396
a 1 182 170
a 1 183 769
a 1 184 960
a 1 185 688
a 1 186 16
a 1 187 405
a 1 188 748
a 1 189 271
a 1 190 751
a 1 191 6
a 1 192 280
a 1 193 499
a 1 194 101
a 1 195 431
a 1 196 91
a 1 197 853
a 1 198 364
a 1 199 339
a 1 200 642
a 1 201 507
a 1 202 159
a 1 203 161
a 1 204 223
a 1 205 701
a 1 206 581
a 1 207 488
a 1 208 66
a 1 209 291
a 1 210 61
a 1 211 82
a 1 212 564
a 1 213 616
a 1 214 152
a 1 215 708
a 1 216 263
a 1 217 674
a 1 218 450
a 1 219 156
a 1 220 231
a 1 221 830
a 1 222 457
a 1 223 162
a 1 224 595
a 1 225 544
a 1 226 780
a 1 227 799
a 1 228 435
a 1 229 337
a 1 230 516
a 1 231 608
a 1 232 579
a 1 233 574
a 1 234 5
a 1 235 403
a 1 236 319
a 1 237 904
a 1 238 966
a 1 239 248
a 1 240 93
a 1 241 278
a 1 242 556
a 1 243 752
a 1 244 189
a 1 245 91
a 1 246 451
a 1 247 25
a 1 248 299
a 1 249 390
a 1 250 20
a 1 251 617
a 1 252 483
a 1 253 181
a 1 254 895
a 1 255 222
a 1 256 124
a 1 257 472
a 1 258 931
a 1 259 51
a 1 260 526
a 1 261 132
a 1 262 336
a 1 263 125
a 1 264 947
a 1 265 797
a 1 266 508
a 1 267 706
a 1 268 1
a 1 269 850
a 1 270 210
a 1 271 544
a 1 272 325
a 1 273 700
a 1 274 563
a 1 275 116
a 1 276 153
a 1 277 582
a 1 278 273
a 1 279 128
a 1 280 534
a 1 281 518
a 1 282 311
a 1 283 954
a 1 284 42
a 1 285 426
a 1 286 962
a 1 287 259
a 1 288 931
a 1 289 828
a 1 290 210
a 1 291 957
a 1 292 866
a 1 293 478
a 1 294 953
a 1 295 140
a 1 296 33
a 1 297 454
a 1 298 906
a 1 299 686
a 1 300 676
a 1 301 538
a 1 302 299
a 1 303 698
a 1 304 779
a 1 305 437
a 1 306 323
a 1 307 204
a 1 308 982
a 1 309 920
a 1 310 980
a 1 311 247
a 1 312 599
a 1 313 489
a 1 314 201
a 1 315 809
a 1 316 779
a 1 317 903
a 1 318 240
a 1 319 170
a 1 320 969
a 1 321 418
a 1 322 801
a 1 323 212
a 1 324 648
a 1 325 863
a 1 326 726
a 1 327 436
a 1 328 373
a 1 329 930
a 1 330 752
a 1 331 63
a 1 332 258
a 1 333 739
a 1 334 199
a 1 335 637
a 1 336 368
a 1 337 529
a 1 338 778
a 1 339 794
a 1 340 509
a 1 341 25
a 1 342 154
a 1 343 359
a 1 344 366
a 1 345 687
a 1 346 868
a 1 347 572
a 1 348 374
a 1 349 210
a 1 350 619
a 1 351 145
a 1 352 60
a 1 353 772
a 1 354 145
a 1 355 864
a 1 356 305
a 1 357 312
a 1 358 662
a 1 359 61
a 1 360 55
a 1 361 666
a 1 362 71
a 1 363 861
a 1 364 554
a 1 365 122
a 1 366 64
a 1 367 234
a 1 368 578
a 1 369 792
a 1 370 170
a 1 371 228
a 1 372 119
a 1 373 889
a 1 374 589
a 1 375 537
a 1 376 763
a 1 377 912
a 1 378 566
a 1 379 581
a 1 380 699
a 1 381 989
a 1 382 186
a 1 383 282
a 1 384 558
a 1 385 393
a 1 386 97
a 1 387 761
a 1 388 268
a 1 389 711
a 1 390 859
a 1 391 79
a 1 392 455
a 1 393 21
a 1 394 598
a 1 395 241
a 1 396 645
a 1 397 904
a 1 398 861
a 1 399 959
a 1 400 51
a 1 401 827
a 1 402 241
a 1 403 84
a 1 404 75
a 1 405 176
a 1 406 828
a 1 407 635
a 1 408 263
a 1 409 292
a 1 410 217
a 1 411 811
a 1 412 875
a 1 413 479
a 1 414 373
a 1 415 764
a 1 416 502
a 1 417 689
a 1 418 184
a 1 419 504
a 1 420 49
a 1 421 518
a 1 422 964
a 1 423 770
a 1 424 829
a 1 425 754
a 1 426 356
a 1 427 169
a 1 428 153
a 1 429 46
a 1 430 286
a 1 431 989
a 1 432 82
a 1 433 104
a 1 434 769
a 1 435 521
a 1 436 649
a 1 437 918
a 1 438 735
a 1 439 119
a 1 440 928
a 1 441 627
a 1 442 196
a 1 443 710
a 1 444 828
a 1 445 416
a 1 446 380
a 1 447 647
a 1 448 692
a 1 449 108
a 1 450 592
a 1 451 419
a 1 452 583
a 1 453 428
a 1 454 33
a 1 455 262
a 1 456 410
a 1 457 715
a 1 458 483
a 1 459 783
a 1 460 800
a 1 461 418
a 1 462 979
a 1 463 277
a 1 464 615
a 1 465 913
a 1 466 481
a 1 467 363
a 1 468 625
a 1 469 995
a 1 470 807
a 1 471 684
a 1 472 671
a 1 473 478
a 1 474 207
a 1 475 311
a 1 476 416
a 1 477 120
a 1 478 975
a 1 479 387
a 1 480 136
a 1 481 187
a 1 482 648
a 1 483 340
a 1 484 81
a 1 485 441
a 1 486 115
a 1 487 204
a 1 488 637
a 1 489 439
a 1 490 626
a 1 491 938
a 1 492 848
a 1 493 590
a 1 494 261
a 1 495 350
a 1 496 978
a 1 497 805
a 1 498 113
a 1 499 90
a 1 500 251
a 2 1 768
a 2 3 210
a 2 4 146
a 2 5 181
a 2 6 628
a 2 7 194
a 2 8 180
a 2 9 509
a 2 10 215
a 2 11 615
a 2 12 224
a 2 13 242
a 2 14 916
a 2 15 872
a 2 16 49
a 2 17 836
a 2 18 357
a 2 19 984
a 2 20 218
a 2 21 317
a 2 22 479
a 2 23 537
a 2 24 986
a 2 25 483
a 2 26 465
a 2 27 762
a 2 28 392
a 2 29 403
a 2 30 476
a 2 31 210
a 2 32 278
a 2 33 215
a 2 34 563
a 2 35 681
a 2 36 945
a 2 37 705
a 2 38 404
a 2 39 37
a 2 40 767
a 2 41 701
a 2 42 542
a 2 43 66
a 2 44 647
a 2 45 386
a 2 46 913
a 2 47 641
a 2 48 588
a 2 49 257
a 2 50 72
a 2 51 498
a 2 52 754
a 2 53 36
a 2 54 361
a 2 55 409
a 2 56 207
a 2 57 80
a 2 58 131
a 2 59 156
a 2 60 571
a 2 61 531
a 2 62 38
a 2 63 650
a 2 64 471
a 2 65 126
a 2 66 542
a 2 67 333
a 2 68 561
a 2 69 395
a 2 70 968
a 2 71 640
a 2 72 174
a 2 73 159
a 2 74 811
a 2 75 890
a 2 76 654
a 2 77 985
a 2 78 904
a 2 79 817
a 2 80 524
a 2 81 265
a 2 82 602
a 2 83 967
a 2 84 715
a 2 85 545
a 2 86 94
a 2 87 528
a 2 88 761
a 2 89 407
a 2 90 788
