p sp 10 90
a 1 2 923
a 1 3 372
a 1 4 21
a 1 5 113
a 1 6 711
a 1 7 86
a 1 8 287
a 1 9 785
a 1 10 772
a 2 1 56
a 2 3 428
a 2 4 720
a 2 5 144
a 2 6 79
a 2 7 724
a 2 8 777
a 2 9 675
a 2 10 759
a 3 1 296
a 3 2 95
a 3 4 71
a 3 5 988
a 3 6 65
a 3 7 181
a 3 8 886
a 3 9 148
a 3 10 221
a 4 1 365
a 4 2 135
a 4 3 838
a 4 5 138
a 4 6 909
a 4 7 769
a 4 8 884
a 4 9 729
a 4 10 890
a 5 1 174
a 5 2 900
a 5 3 612
a 5 4 201
a 5 6 321
a 5 7 883
a 5 8 815
a 5 9 40
a 5 10 680
a 6 1 904
a 6 2 10
a 6 3 938
a 6 4 914
a 6 5 311
a 6 7 284
a 6 8 136
a 6 9 504
a 6 10 586
a 7 1 777
a 7 2 447
a 7 3 560
a 7 4 433
a 7 5 581
a 7 6 8
a 7 8 557
a 7 9 579
a 7 10 679
a 8 1 67
a 8 2 0
a 8 3 154
a 8 4 582
a 8 5 299
a 8 6 530
a 8 7 387
a 8 9 198
a 8 10 212
a 9 1 14
a 9 2 147
a 9 3 468
a 9 4 407
a 9 5 531
a 9 6 714
a 9 7 421
a 9 8 973
a 9 10 568
a 10 1 795
a 10 2 3
a 10 3 567
a 10 4 206
a 10 5 258
a 10 6 103
a 10 7 636
a 10 8 993
a 10 9 196
