p sp 10 90
a 1 2 883
a 1 3 31
a 1 4 453
a 1 5 589
a 1 6 790
a 1 7 690
a 1 8 558
a 1 9 732
a 1 10 723
a 2 1 739
a 2 3 604
a 2 4 756
a 2 5 112
a 2 6 51
a 2 7 932
a 2 8 469
a 2 9 355
a 2 10 99
a 3 1 215
a 3 2 442
a 3 4 558
a 3 5 664
a 3 6 465
a 3 7 745
a 3 8 358
a 3 9 351
a 3 10 645
a 4 1 72
a 4 2 223
a 4 3 249
a 4 5 58
a 4 6 817
a 4 7 761
a 4 8 192
a 4 9 488
a 4 10 262
a 5 1 622
a 5 2 72
a 5 3 603
a 5 4 364
a 5 6 705
a 5 7 166
a 5 8 566
a 5 9 980
a 5 10 655
a 6 1 348
a 6 2 497
a 6 3 949
a 6 4 625
a 6 5 706
a 6 7 404
a 6 8 931
a 6 9 288
a 6 10 182
a 7 1 89
a 7 2 203
a 7 3 255
a 7 4 61
a 7 5 685
a 7 6 92
a 7 8 797
a 7 9 431
a 7 10 870
a 8 1 478
a 8 2 391
a 8 3 982
a 8 4 190
a 8 5 558
a 8 6 473
a 8 7 934
a 8 9 206
a 8 10 656
a 9 1 702
a 9 2 534
a 9 3 755
a 9 4 235
a 9 5 51
a 9 6 822
a 9 7 709
a 9 8 880
a 9 10 960
a 10 1 479
a 10 2 642
a 10 3 179
a 10 4 206
a 10 5 389
a 10 6 47
a 10 7 768
a 10 8 553
a 10 9 7
