p sp 300 89700
a 1 2 231
a 1 3 744
a 1 4 505
a 1 5 957
a 1 6 203
a 1 7 738
a 1 8 411
a 1 9 205
a 1 10 640
a 1 11 956
a 1 12 0
a 1 13 420
a 1 14 316
a 1 15 731
a 1 16 992
a 1 17 405
a 1 18 71
a 1 19 443
a 1 20 628
a 1 21 467
a 1 22 995
a 1 23 312
a 1 24 765
a 1 25 817
a 1 26 794
a 1 27 96
a 1 28 73
a 1 29 337
a 1 30 315
a 1 31 426
a 1 32 974
a 1 33 777
a 1 34 381
a 1 35 664
a 1 36 429
a 1 37 302
a 1 38 738
a 1 39 776
a 1 40 480
a 1 41 341
a 1 42 749
a 1 43 367
a 1 44 331
a 1 45 628
a 1 46 332
a 1 47 740
a 1 48 774
a 1 49 894
a 1 50 382
a 1 51 891
a 1 52 408
a 1 53 276
a 1 54 828
a 1 55 270
a 1 56 45
a 1 57 307
a 1 58 764
a 1 59 477
a 1 60 1
a 1 61 348
a 1 62 969
a 1 63 967
a 1 64 635
a 1 65 799
a 1 66 652
a 1 67 278
a 1 68 306
a 1 69 799
a 1 70 878
a 1 71 631
a 1 72 322
a 1 73 408
a 1 74 146
a 1 75 727
a 1 76 656
a 1 77 139
a 1 78 47
a 1 79 718
a 1 80 321
a 1 81 185
a 1 82 188
a 1 83 831
a 1 84 39
a 1 85 587
a 1 86 458
a 1 87 246
a 1 88 235
a 1 89 64
a 1 90 981
a 1 91 472
a 1 92 859
a 1 93 239
a 1 94 35
a 1 95 150
a 1 96 557
a 1 97 520
a 1 98 314
a 1 99 145
a 1 100 218
a 1 101 838
a 1 102 510
a 1 103 879
a 1 104 396
a 1 105 623
a 1 106 512
a 1 107 124
a 1 108 15
a 1 109 858
a 1 110 183
a 1 111 122
a 1 112 403
a 1 113 887
a 1 114 699
a 1 115 233
a 1 116 375
a 1 117 442
a 1 118 180
a 1 119 86
a 1 120 999
a 1 121 592
a 1 122 175
a 1 123 680
a 1 124 775
a 1 125 56
a 1 126 585
a 1 127 990
a 1 128 126
a 1 129 603
a 1 130 97
a 1 131 914
a 1 132 772
a 1 133 916
a 1 134 681
a 1 135 544
a 1 136 3
a 1 137 153
a 1 138 342
a 1 139 655
a 1 140 592
a 1 141 703
a 1 142 819
a 1 143 558
a 1 144 379
a 1 145 601
a 1 146 609
a 1 147 232
a 1 148 442
a 1 149 496
a 1 150 114
a 1 151 616
a 1 152 162
a 1 153 404
a 1 154 249
a 1 155 269
a 1 156 534
a 1 157 513
a 1 158 227
a 1 159 254
a 1 160 261
a 1 161 770
a 1 162 88
a 1 163 439
a 1 164 943
a 1 165 338
a 1 166 714
a 1 167 650
a 1 168 0
a 1 169 189
a 1 170 43
a 1 171 798
a 1 172 4
a 1 173 699
a 1 174 123
a 1 175 3
a 1 176 760
a 1 177 245
a 1 178 632
a 1 179 651
a 1 180 447
a 1 181 310
a 1 182 420
a 1 183 995
a 1 184 106
a 1 185 306
a 1 186 74
a 1 187 991
a 1 188 22
a 1 189 233
a 1 190 937
a 1 191 840
a 1 192 786
a 1 193 581
a 1 194 719
a 1 195 593
a 1 196 957
a 1 197 535
a 1 198 814
a 1 199 501
a 1 200 244
a 1 201 341
a 1 202 537
a 1 203 75
a 1 204 537
