p sp 350 122150
a 1 2 319
a 1 3 627
a 1 4 441
a 1 5 849
a 1 6 474
a 1 7 902
a 1 8 906
a 1 9 344
a 1 10 439
a 1 11 743
a 1 12 296
a 1 13 304
a 1 14 692
a 1 15 159
a 1 16 192
a 1 17 513
a 1 18 455
a 1 19 551
a 1 20 915
a 1 21 974
a 1 22 818
a 1 23 812
a 1 24 989
a 1 25 333
a 1 26 962
a 1 27 107
a 1 28 489
a 1 29 212
a 1 30 899
a 1 31 757
a 1 32 998
a 1 33 677
a 1 34 293
a 1 35 116
a 1 36 20
a 1 37 522
a 1 38 394
a 1 39 572
a 1 40 599
a 1 41 208
a 1 42 701
a 1 43 618
a 1 44 258
a 1 45 776
a 1 46 195
a 1 47 624
a 1 48 85
a 1 49 81
a 1 50 373
a 1 51 326
a 1 52 880
a 1 53 783
a 1 54 364
a 1 55 898
a 1 56 685
a 1 57 831
a 1 58 547
a 1 59 905
a 1 60 945
a 1 61 696
a 1 62 617
a 1 63 27
a 1 64 938
a 1 65 322
a 1 66 571
a 1 67 954
a 1 68 130
a 1 69 42
a 1 70 733
a 1 71 706
a 1 72 834
a 1 73 316
a 1 74 418
a 1 75 578
a 1 76 447
a 1 77 767
a 1 78 631
a 1 79 58
a 1 80 481
a 1 81 740
a 1 82 860
a 1 83 363
a 1 84 854
a 1 85 335
a 1 86 330
a 1 87 857
a 1 88 267
a 1 89 956
a 1 90 629
a 1 91 459
a 1 92 339
a 1 93 770
a 1 94 978
a 1 95 745
a 1 96 277
a 1 97 195
a 1 98 642
a 1 99 661
a 1 100 753
a 1 101 329
a 1 102 677
a 1 103 738
a 1 104 219
a 1 105 714
a 1 106 872
a 1 107 464
a 1 108 599
a 1 109 909
a 1 110 159
a 1 111 565
a 1 112 738
a 1 113 963
a 1 114 754
a 1 115 116
a 1 116 127
a 1 117 134
a 1 118 484
a 1 119 922
a 1 120 375
a 1 121 164
a 1 122 358
a 1 123 947
a 1 124 23
a 1 125 332
a 1 126 24
a 1 127 345
a 1 128 461
a 1 129 999
a 1 130 336
a 1 131 253
a 1 132 811
a 1 133 520
a 1 134 33
a 1 135 547
